,path,title
388,/scp-389,SCP-389 - Message in a Bottle
389,/scp-390,SCP-390 - Ancient Death Ray
390,/scp-391,SCP-391 - The Midas Owl
391,/scp-392,"SCP-392 - A Plant Now Found in Site-103, and Formerly Found in the Households of Nobility"
392,/scp-393,SCP-393 - The Memory Planner
393,/scp-394,SCP-394 - Ear Candles
394,/scp-395,SCP-395 - The Bottle Baby
395,/scp-396,"SCP-396 - And Suddenly, Chair"
396,/scp-397,SCP-397 - A Hominidae
397,/scp-398,SCP-398 - The Greeting Hall
398,/scp-399,SCP-399 - Atomic Manipulation Ring
399,/scp-400,SCP-400 - Beautiful Babies
400,/scp-401,SCP-401 - A Palm Tree
401,/scp-402,SCP-402 - Obsidian Absorber
402,/scp-403,SCP-403 - Escalating Lighter
403,/scp-404,"SCP-404 - Memories Lost, Memories Found"
404,/scp-405,SCP-405 - Telepathy Virus
405,/scp-406,SCP-406 - Sleepwalker's Tunnel
406,/scp-407,SCP-407 - The Song of Genesis
407,/scp-408,SCP-408 - Illusory Butterflies
408,/scp-409,SCP-409 - Contagious Crystal
409,/scp-410,SCP-410 - Editor Beetles
410,/scp-411,SCP-411 - Ancient Precog
411,/scp-412,SCP-412 - Mutagenic Mirror
412,/scp-413,SCP-413 - Endless Garage
413,/scp-414,"SCP-414 - Regardless, I Might Prefer Myself Sick"
414,/scp-415,SCP-415 - The Harvested Man
415,/scp-416,SCP-416 - Infinite Forest
416,/scp-417,SCP-417 - The Plague Tree
417,/scp-418,SCP-418 - Human Jigsaw
418,/scp-419,SCP-419 - Window to the World
419,/scp-420,SCP-420 - Aggressive Skin Condition
420,/scp-421,SCP-421 - Shoal of Driftwood
421,/scp-422,SCP-422 - Patchwork Beast
422,/scp-423,SCP-423 - Self-Inserting Character
423,/scp-424,SCP-424 - Nanomimes
424,/scp-425,SCP-425 - The Infinity Broadcast
425,/scp-426,SCP-426 - I am a Toaster
426,/scp-427,SCP-427 - Lovecraftian Locket
427,/scp-428,SCP-428 - The Crowd
428,/scp-429,SCP-429 - Clockwork Teleporter
429,/scp-430,SCP-430 - A Peasant's Punishment
430,/scp-431,SCP-431 - Dr. Gideon
431,/scp-432,SCP-432 - Cabinet Maze
432,/scp-433,SCP-433 - A Ritual
433,/scp-434,SCP-434 - A Meeting with Myself
434,/scp-435,SCP-435 - “He-Who-Made-Dark”
435,/scp-436,SCP-436 - Error Locket
436,/scp-437,SCP-437 - Summer of '91
437,/scp-438,SCP-438 - Addictive Straitjacket of Espionage
438,/scp-439,SCP-439 - Bone Hive
439,/scp-440,SCP-440 - Sand-Based Ecology
440,/scp-441,SCP-441 - Jacob Ram
441,/scp-442,SCP-442 - On-Time Piece
442,/scp-443,SCP-443 - Thought-streaming Crayons
443,/scp-444,SCP-444 - The Language of Global Harmony
444,/scp-445,"SCP-445 - ""Dr. Wondertainment's Super Paper"""
445,/scp-446,SCP-446 - Human Mannequin
446,/scp-447,SCP-447 - Ball of Green Slime
447,/scp-448,SCP-448 - Jack-in-the-Box
448,/scp-449,SCP-449 - Gut Dust
449,/scp-450,SCP-450 - Abandoned Federal Penitentiary
450,/scp-451,SCP-451 - Mister Lonely
451,/scp-452,SCP-452 - Dreamcatcher Spider
452,/scp-453,SCP-453 - Scripted Nightclub
453,/scp-454,SCP-454 - Comic Book
454,/scp-455,SCP-455 - Cargo Ship
455,/scp-456,SCP-456 - Soporific Bedbugs
456,/scp-457,SCP-457 - Burning Man
457,/scp-458,SCP-458 - The Never-Ending Pizza Box
458,/scp-459,SCP-459 - Interplanetary Thermostat
459,/scp-460,SCP-460 - Séance Storm
460,/scp-461,SCP-461 - ZICU-TV
461,/scp-462,SCP-462 - The Getaway Car
462,/scp-463,SCP-463 - A Spoon That Bends People
463,/scp-464,SCP-464 - The Foundry
464,/scp-465,SCP-465 - Party in a Box
465,/scp-466,SCP-466 - Mobile Veins
466,/scp-467,SCP-467 - Confessional Phone Booth
467,/scp-468,SCP-468 - The Abacus
468,/scp-469,SCP-469 - Many-Winged Angel
469,/scp-470,SCP-470 - Nexus of Abandoned Places
470,/scp-471,SCP-471 - A Satellite
471,/scp-472,SCP-472 - The Bloodstone
472,/scp-473,SCP-473 - Supai
473,/scp-474,SCP-474 - ℞FM
474,/scp-475,SCP-475 - Soap of a Pope
475,/scp-476,SCP-476 - Map to Nowhere
476,/scp-477,SCP-477 - Fossil Sea
477,/scp-478,SCP-478 - Tooth Fairies
478,/scp-479,"SCP-479 - Hallway 4, D-Class Dorms, Site 14"
479,/scp-480,SCP-480 - Recurring Nightmare Field
480,/scp-481,SCP-481 - Scar Tissue
481,/scp-482,SCP-482 - Mentally Mutating Straitjacket
482,/scp-483,SCP-483 - Anti-Aging Placebos
483,/scp-484,SCP-484 - Memory Stealing Drug
484,/scp-485,SCP-485 - Death Pen
485,/scp-486,SCP-486 - Coatlicue Skin
486,/scp-487,SCP-487 - The Impossible House
487,/scp-488,SCP-488 - Meteor Attractor
488,/scp-489,SCP-489 - 1-555-BUG-BASH
489,/scp-490,SCP-490 - Ice Cream Truck
490,/scp-491,SCP-491 - Wrecking Light
491,/scp-492,SCP-492 - Animated Cloth Dummy
492,/scp-493,SCP-493 - Replicant
493,/scp-494,SCP-494 - Matter Transference Gloves
494,/scp-495,SCP-495 - Thingmaker
495,/scp-496,SCP-496 - A Sunken Relic
496,/scp-497,SCP-497 - The Shell
497,/scp-498,SCP-498 - 11 Minute Snooze
498,/scp-499,SCP-499 - Old Sun Man
499,/scp-500,SCP-500 - Panacea
